No,Kelas,Mata Pelajaran,Tanggal,Jam,Durasi
1,"SATS_SEJARAH_10_GJL_25 KELAS X
KELAS X",SEJARAH,"Jumat, 03 Okt 2025",07:00,90 menit
2,"SATS_SEJARAH_11_GJL_25 KELAS XI
KELAS XI",SEJARAH,"Jumat, 03 Okt 2025",07:00,90 menit
3,"SATS_SEJARAH_12_GJL_25 KELAS XII
KELAS XII",SEJARAH,"Jumat, 03 Okt 2025",07:00,90 menit
4,"SATS_MM_10_GJL_25 KELAS X
KELAS X",MULTIMEDIA,"Jumat, 03 Okt 2025",09:00,45 menit
5,"SATS_MM_11_GJL_25 KELAS XI
KELAS XI",MULTIMEDIA,"Jumat, 03 Okt 2025",09:00,45 menit
6,"SATS_MM_12_GJL_25 KELAS XII
KELAS XII",MULTIMEDIA,"Jumat, 03 Okt 2025",09:00,45 menit
7,"SATS_ANTROPOLOGI _11_GJL_25 KELAS XI
KELAS XI",ANTROPOLOGI,"Jumat, 03 Okt 2025",09:45,45 menit
8,"SATS_ANTROPOLOGI _12_GJL_25 KELAS XII
KELAS XII",ANTROPOLOGI,"Jumat, 03 Okt 2025",09:45,45 menit
9,"SATS_AKIDAH _10_GJL_25 KELAS X
KELAS X",AQIDAH AKHLAK,"Sabtu, 04 Okt 2025",07:00,90 menit
10,"SATS_AKIDAH_11_GJL_25 KELAS XI
KELAS XI",AQIDAH AKHLAK,"Sabtu, 04 Okt 2025",07:00,90 menit
11,"SATS_AKIDAH _12_GJL_25 KELAS XII
KELAS XII",AQIDAH AKHLAK,"Sabtu, 04 Okt 2025",07:00,90 menit
12,"SATS_PKn_10_GJL_25 KELAS X
KELAS X",PKn,"Sabtu, 04 Okt 2025",09:00,60 menit
13,"SOAL PKN KELAS XI KELAS XI
KELAS XI",PKn,"Sabtu, 04 Okt 2025",09:00,60 menit
14,"SATS_PKN_12_GJL_25 KELAS XII
KELAS XII",PKn,"Sabtu, 04 Okt 2025",09:00,60 menit
15,"SATS_IPA_10_GJL_25 KELAS X
KELAS X",IPA,"Sabtu, 04 Okt 2025",10:00,60 menit
16,"SATS_SOSIOLOGI _10_GJL_25 KELAS X
KELAS X",SOSIOLOGI,"Senin, 06 Okt 2025",07:00,90 menit
17,"SATS_SOSIOLOGI _11_GJL_25 KELAS XI
KELAS XI",SOSIOLOGI,"Senin, 06 Okt 2025",07:00,90 menit
18,"SATS_SOSIOLOGI _12_GJL_25 KELAS XII
KELAS XII",SOSIOLOGI,"Senin, 06 Okt 2025",07:00,90 menit
19,"SATS_GEOGRAFI_10_GJL_25 KELAS X
KELAS X",GEOGRAFI,"Senin, 06 Okt 2025",09:00,60 menit
20,"SATS_GEOGRAFI _11_GJL_25 KELAS XI
KELAS XI",GEOGRAFI,"Senin, 06 Okt 2025",09:00,60 menit
21,"SATS_GEOGRAFI _12_GJL_25 KELAS XII
KELAS XII",GEOGRAFI,"Senin, 06 Okt 2025",09:00,60 menit
22,"SOAL ASWAJA KELAS 10 MA KELAS X
KELAS X",MULOK ASWAJA,"Senin, 06 Okt 2025",10:00,60 menit
23,"Soal Aswaja Kelas 11 KELAS XI
KELAS XI",MULOK ASWAJA,"Senin, 06 Okt 2025",10:00,60 menit
24,"SATS_ASWAJA _12_GJL_25 KELAS XII
KELAS XII",MULOK ASWAJA,"Senin, 06 Okt 2025",10:00,60 menit
